This file is for keeping a list of all files and their origin.
It shouldn't be used for any functionality with the artifact executable.

file, author, origin
noto_sans_sc.png,Josh Gibson,made in paint.net
test_smile.png,Josh Gibson,made in paint.net
textures/grass.png,?,https://architextures.org/textures/3213
textures/soil.png,?,https://architextures.org/textures/1996
textures/snow.png,?,https://architextures.org/textures/5530
textures/granite.png,?,https://patternpanda.org/tex/stone1/stone-granite-4-TEX.png
textures/plain_white.png,Josh Gibson,made in paint.net
textures/plain_transparent.png,Josh Gibson,made in paint.net
models/grass_cube.obj,models/grass_cube.mtl,Josh Gibson, made in Blender
terrain/isle_of_man.terrain,Josh Gibson,Made in notepad++
terrain/isle_of_man.tif,...,sourced from COP 30 data in opentopography.org
terrain/isle_of_man_splatmap.png,Josh Gibson,Made in paint.net
terrain/st_helena.terrain,Josh Gibson,Made in notepad++
terrain/st_helena_color_relief.tif,...,sourced from COP 30 data in opentopography.org
terrain/st_helena_hillshade.tif,...,sourced from COP 30 data in opentopography.org
terrain/st_helena_splatmap.png,Josh Gibson,Made in paint.net
